date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
9/9/2016,29-27-34-47-04-12,29,27,34,47,4,12,4,12,27,29,34,47
9/11/2016,11-15-20-08-49-37,11,15,20,8,49,37,8,11,15,20,37,49
9/16/2016,23-41-13-46-43-58,23,41,13,46,43,58,13,23,41,43,46,58
9/18/2016,13-51-12-02-06-36,13,51,12,2,6,36,2,6,12,13,36,51
9/23/2016,32-56-27-57-15-09,32,56,27,57,15,9,9,15,27,32,56,57
9/25/2016,56-50-52-14-21-25,56,50,52,14,21,25,14,21,25,50,52,56
9/30/2016,51-49-47-25-39-05,51,49,47,25,39,5,5,25,39,47,49,51
10/2/2016,29-01-44-38-28-32,29,1,44,38,28,32,1,28,29,32,38,44
10/7/2016,56-45-33-54-52-18,56,45,33,54,52,18,18,33,45,52,54,56
10/9/2016,37-16-13-44-54-25,37,16,13,44,54,25,13,16,25,37,44,54
10/14/2016,49-31-25-52-53-33,49,31,25,52,53,33,25,31,33,49,52,53
10/16/2016,04-03-35-56-39-05,4,3,35,56,39,5,3,4,5,35,39,56
10/21/2016,51-46-43-47-12-32,51,46,43,47,12,32,12,32,43,46,47,51
10/23/2016,26-44-04-57-21-54,26,44,4,57,21,54,4,21,26,44,54,57
10/28/2016,46-32-02-57-15-03,46,32,2,57,15,3,2,3,15,32,46,57
10/30/2016,01-34-41-02-10-21,1,34,41,2,10,21,1,2,10,21,34,41
11/4/2016,58-06-25-47-38-41,58,6,25,47,38,41,6,25,38,41,47,58
11/6/2016,54-48-58-42-21-15,54,48,58,42,21,15,15,21,42,48,54,58
11/11/2016,08-51-07-32-37-17,8,51,7,32,37,17,7,8,17,32,37,51
11/13/2016,15-02-31-58-56-22,15,2,31,58,56,22,2,15,22,31,56,58
11/18/2016,43-42-29-10-41-04,43,42,29,10,41,4,4,10,29,41,42,43
11/20/2016,58-53-26-42-54-28,58,53,26,42,54,28,26,28,42,53,54,58
11/25/2016,46-32-10-56-27-48,46,32,10,56,27,48,10,27,32,46,48,56
11/27/2016,04-31-13-36-24-53,4,31,13,36,24,53,4,13,24,31,36,53
12/2/2016,17-40-58-27-47-05,17,40,58,27,47,5,5,17,27,40,47,58
12/4/2016,30-02-17-42-01-03,30,2,17,42,1,3,1,2,3,17,30,42
12/9/2016,55-23-29-22-53-41,55,23,29,22,53,41,22,23,29,41,53,55
12/11/2016,44-33-05-52-50-58,44,33,5,52,50,58,5,33,44,50,52,58
12/16/2016,19-34-58-28-08-36,19,34,58,28,8,36,8,19,28,34,36,58
12/18/2016,08-56-07-43-13-17,8,56,7,43,13,17,7,8,13,17,43,56
12/23/2016,40-14-34-45-20-36,40,14,34,45,20,36,14,20,34,36,40,45
12/30/2016,38-58-23-42-34-08,38,58,23,42,34,8,8,23,34,38,42,58
1/6/2017,21-17-54-47-08-02,21,17,54,47,8,2,2,8,17,21,47,54
1/8/2017,40-50-46-44-08-12,40,50,46,44,8,12,8,12,40,44,46,50
1/13/2017,45-19-06-07-08-22,45,19,6,7,8,22,6,7,8,19,22,45
