temp,humidity,pressure,slot,partofday,target
86.4,75.4,29.6,1.00,1,0
85.8,78.8,29.6,1.00,1,1
84.9,81.2,29.7,1.00,1,3
82.7,89.5,29.7,1.00,1,9
83.6,82,29.7,1.00,1,1
81.2,76.7,29.7,1.00,1,5
84.7,81.2,29.7,1.00,1,9
82.9,84.9,29.7,1.00,1,2
82.2,84.7,29.7,1.00,1,5
82.1,85.4,29.7,1.00,1,5
85.8,75.8,29.7,1.00,1,0
86.5,74.3,29.7,1.00,1,7
82.3,80.5,29.8,1.00,1,2
83.7,81,29.7,1.00,1,9
85.8,77.3,29.7,1.00,1,3
87,75.2,29.7,1.00,1,8
84.8,79.3,29.7,1.00,1,8
84.2,81.1,29.7,1.00,1,9
83.6,82.2,29.7,1.00,1,7
85.3,80.5,29.6,1.00,1,9
83.2,85.3,29.6,1.00,1,6
80.6,85.6,29.6,1.00,1,3
81.3,89.5,29.7,1.00,1,8
82.2,86.3,29.7,1.00,1,2
82.1,83.8,29.7,1.00,1,6
84.6,78.9,29.7,1.00,1,5
82.8,83.1,29.7,1.00,1,6
78.3,94.3,29.7,1.00,1,0
79.9,89.9,29.7,1.00,1,8
80.4,89.1,29.7,1.00,1,7
79.5,88.6,29.7,1.00,1,6
82.7,82.4,29.7,1.00,1,7
84.4,76.8,29.7,1.00,1,0
83.3,82.5,29.7,1.00,1,9
83.6,81.7,29.7,1.00,1,1
79.1,82.4,29.7,1.00,1,8
81.8,84.5,29.6,1.00,1,3
80.3,90.2,29.7,1.00,1,2
82.7,83,29.7,1.00,1,8
79.4,78.8,28.6,1.00,1,3
81.9,84,29.7,1.00,1,3
83.3,78.2,29.7,1.00,1,4
83.7,80.6,29.7,1.00,1,4
83.5,79.9,29.7,1.00,1,6
83,82.3,29.6,1.00,1,7
78.6,89.7,29.6,1.00,1,4
80,88.3,29.7,1.00,1,2
85.2,76.9,29.7,1.00,1,8
83.5,82.5,29.7,1.00,1,2
79.2,80,29.7,1.00,1,8
