LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,45-13-49-53-16-40,61,187353392,0,13,16,40,45,49,53,2015-11-09
Ultra Lotto 6/58,39-56-49-35-34-15,62,198885092,0,15,34,35,39,49,56,2015-09-18
Ultra Lotto 6/58,11-43-04-09-13-30,63,204398484,0,4,9,11,13,30,43,2015-09-20
Ultra Lotto 6/58,25-14-35-13-02-53,64,211057824,0,2,13,14,25,35,53,2015-09-25
Ultra Lotto 6/58,06-34-18-49-54-04,65,216967656,0,4,6,18,34,49,54,2015-09-27
Ultra Lotto 6/58,40-48-27-09-36-39,66,223913368,0,9,27,36,39,40,48,2015-02-10
Ultra Lotto 6/58,10-24-38-12-50-08,67,229955648,0,8,10,12,24,38,50,2015-04-10
Ultra Lotto 6/58,55-08-39-32-14-45,68,236892056,0,8,14,32,39,45,55,2015-09-10
Ultra Lotto 6/58,38-10-42-13-25-46,69,243152252,0,10,13,25,38,42,46,2015-11-10
Ultra Lotto 6/58,05-37-16-28-14-44,70,250746184,0,5,14,16,28,37,44,2015-10-16
Ultra Lotto 6/58,54-19-15-03-20-50,71,256317648,0,3,15,19,20,50,54,2015-10-18
Ultra Lotto 6/58,16-15-18-46-08-29,72,263870888,0,8,15,16,18,29,46,2015-10-23
Ultra Lotto 6/58,49-04-46-34-19-56,73,270329376,0,4,19,34,46,49,56,2015-10-25
Ultra Lotto 6/58,22-09-24-16-52-42,74,277977308,1,9,16,22,24,42,52,2015-10-30
Ultra Lotto 6/58,22-03-27-41-43-36,75,50000000,0,3,22,27,36,41,43,2015-01-11
Ultra Lotto 6/58,11-22-03-43-34-06,76,50000000,0,3,6,11,22,34,43,2015-06-11
Ultra Lotto 6/58,48-52-14-58-23-38,77,50000000,0,14,23,38,48,52,58,2015-08-11
Ultra Lotto 6/58,48-15-01-35-26-22,78,50000000,0,1,15,22,26,35,48,2015-11-13
Ultra Lotto 6/58,20-01-04-40-51-02,79,50000000,0,1,2,4,20,40,51,2015-11-15
Ultra Lotto 6/58,33-54-45-20-14-12,80,50000000,0,12,14,20,33,45,54,2015-11-20
Ultra Lotto 6/58,15-48-31-04-43-13,81,50000000,0,4,13,15,31,43,48,2015-11-22
Ultra Lotto 6/58,32-51-27-01-16-20,82,50000000,0,1,16,20,27,32,51,2015-11-27
